Audit_Log_ID,Account_ID,Event_Time,User_Name,Client_Host,DB_Name,Table_Name,Operation,SQL_Statement,Status,Affected_Rows,Remarks,Old_Data,New_Data,Created_At,Updated_At
AU000063,ACC0087,5/5/25 21:24,rwilson87,192.168.196.65,public_db,Public_Places,SELECT,EXECUTED_STATEMENT,ok,34,Open event area access access family,,,15/1/22 06:37,20/10/24 19:55
AU000064,ACC0002,11/10/25 19:59,canderson2,192.168.187.201,public_db,Users,SELECT,EXECUTED_STATEMENT,ok,0,Open meeting family open friendly area,,,20/3/24 06:46,15/6/24 04:25
AU000065,ACC0051,13/4/25 01:23,staylor51,192.168.196.155,public_db,Public_Places,DELETE,EXECUTED_STATEMENT,error,16,Gathering facility gathering access book space,,,31/8/22 08:57,14/8/25 13:16
AU000066,ACC0090,18/10/22 03:15,qmartin90,192.168.164.15,public_db,Bookings,SELECT,EXECUTED_STATEMENT,error,9,Gathering community central area gathering nearby,,,6/12/24 09:23,9/6/24 10:16
AU000067,ACC0028,10/12/25 04:05,qmartinez28,192.168.113.148,public_db,Payments,DELETE,EXECUTED_STATEMENT,error,32,Space community event public access secure,,,2/6/22 00:33,19/11/24 08:19
AU000068,ACC0006,29/10/22 03:40,pbrown6,192.168.188.234,public_db,Bookings,SELECT,EXECUTED_STATEMENT,error,46,Gathering secure spot gathering meeting reserve,,,17/5/23 08:24,14/11/25 22:22
AU000069,ACC0043,22/4/23 11:16,swilliams43,192.168.46.24,public_db,Bookings,DELETE,EXECUTED_STATEMENT,ok,7,Family meeting facility meeting nearby facility,,,19/5/24 04:27,23/11/24 17:12
AU000070,ACC0032,4/2/25 12:16,smartinez32,192.168.164.191,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,ok,28,Central event space area gathering spot,,,3/11/24 03:35,15/12/24 13:11
AU000071,ACC0034,13/11/22 13:42,sjones34,192.168.23.196,public_db,Feedback,SELECT,EXECUTED_STATEMENT,ok,14,Reserve community meeting meeting friendly secure,,,28/1/24 10:12,8/3/25 16:50
AU000072,ACC0060,17/10/22 01:20,ebrown60,192.168.183.17,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,ok,29,Area secure facility gathering secure friendly,,,11/9/24 19:21,18/10/25 08:22
AU000073,ACC0062,23/9/25 02:13,rmiller62,192.168.110.26,public_db,Public_Places,DELETE,EXECUTED_STATEMENT,error,14,Service friendly family meeting space event,,,27/10/23 16:42,18/11/25 06:35
AU000074,ACC0050,13/4/22 05:53,pwilliams50,192.168.88.86,public_db,Users,SELECT,EXECUTED_STATEMENT,error,9,Family open service event community access,,,29/5/23 04:57,11/1/24 16:12
AU000075,ACC0084,12/2/24 07:31,jwilliams84,192.168.73.123,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,error,13,Reserve nearby access access public available,,,23/3/23 19:15,17/3/25 18:20
AU000076,ACC0061,28/5/25 01:53,rdavis61,192.168.208.230,public_db,Bookings,DELETE,EXECUTED_STATEMENT,error,37,Book open book friendly friendly meeting,,,12/12/23 00:55,4/12/25 19:06
AU000077,ACC0078,24/10/22 17:16,csmith78,192.168.102.148,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,error,38,Family access meeting community open book,,,21/10/23 14:58,6/4/25 02:06
AU000078,ACC0095,28/8/24 18:12,panderson95,192.168.237.128,public_db,Users,DELETE,EXECUTED_STATEMENT,error,10,Access space reserve community secure service,,,29/10/22 06:35,3/5/25 07:38
AU000079,ACC0052,24/9/22 16:34,clopez52,192.168.105.47,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,ok,41,Public public friendly secure secure book,,,30/9/24 15:30,13/9/25 04:23
AU000080,ACC0063,7/8/22 15:23,ejones63,192.168.84.15,public_db,Users,UPDATE,EXECUTED_STATEMENT,error,7,Meeting secure access spot community open,,,1/8/22 15:28,15/8/25 00:17
AU000081,ACC0027,12/4/25 06:31,eanderson27,192.168.95.8,public_db,Payments,SELECT,EXECUTED_STATEMENT,ok,6,Nearby family open gathering facility space,,,14/5/24 19:53,26/1/24 02:36
AU000082,ACC0058,9/8/24 00:42,brodriguez58,192.168.110.207,public_db,Bookings,SELECT,EXECUTED_STATEMENT,ok,28,Family community event community community spot,,,4/3/23 06:43,27/2/25 16:42
AU000083,ACC0024,4/6/23 10:10,qjones24,192.168.192.148,public_db,Payments,INSERT,EXECUTED_STATEMENT,error,10,Spot friendly access area spot service,,,8/3/22 14:28,28/11/24 09:28
AU000084,ACC0008,17/11/22 12:44,mbrown8,192.168.166.28,public_db,Feedback,UPDATE,EXECUTED_STATEMENT,ok,8,Facility open friendly open family open,,,30/8/22 14:06,15/8/24 12:40
AU000085,ACC0084,8/4/22 10:52,jwilliams84,192.168.219.16,public_db,Payments,SELECT,EXECUTED_STATEMENT,error,28,Gathering event open family spot event,,,25/2/23 21:24,15/5/25 09:38
AU000086,ACC0080,7/7/25 21:20,agonzalez80,192.168.191.6,public_db,Public_Places,INSERT,EXECUTED_STATEMENT,error,19,Secure access facility gathering access family,,,14/12/22 01:37,12/7/25 00:22
AU000087,ACC0086,31/7/22 20:34,smartin86,192.168.87.153,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,ok,49,Space gathering secure meeting secure available,,,27/7/23 09:25,9/7/25 20:50
AU000088,ACC0005,12/4/25 08:11,smiller5,192.168.88.231,public_db,Payments,DELETE,EXECUTED_STATEMENT,ok,15,Area community open gathering community secure,,,10/11/23 12:31,1/3/24 04:07
AU000089,ACC0080,9/4/23 12:17,agonzalez80,192.168.145.85,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,error,37,Service spot spot book area open,,,18/5/23 07:01,15/6/24 10:43
AU000090,ACC0032,18/3/24 05:56,smartinez32,192.168.218.34,public_db,Bookings,INSERT,EXECUTED_STATEMENT,error,36,Reserve service available public secure friendly,,,8/7/23 03:17,14/6/24 21:06
AU000091,ACC0008,28/6/24 12:08,mbrown8,192.168.201.81,public_db,Feedback,UPDATE,EXECUTED_STATEMENT,ok,7,Public nearby access space facility spot,,,24/7/23 05:49,8/3/24 00:32
AU000092,ACC0050,9/1/23 21:40,pwilliams50,192.168.137.165,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,error,21,Available friendly spot open access reserve,,,24/7/22 17:32,16/1/25 08:27
AU000093,ACC0093,31/3/24 04:39,qhernandez93,192.168.216.219,public_db,Users,SELECT,EXECUTED_STATEMENT,error,9,Book service central meeting public central,,,22/2/22 22:36,11/3/25 04:23
AU000094,ACC0058,14/4/23 00:57,brodriguez58,192.168.2.147,public_db,Feedback,UPDATE,EXECUTED_STATEMENT,error,20,Family meeting open reserve space book,,,11/11/23 12:54,11/1/24 11:34
AU000095,ACC0013,9/7/23 07:38,rgarcia13,192.168.71.26,public_db,Feedback,INSERT,EXECUTED_STATEMENT,error,15,Book community family facility spot available,,,19/6/23 16:58,11/9/25 04:37
AU000096,ACC0048,19/11/25 09:09,twilliams48,192.168.67.40,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,error,40,Friendly event central friendly spot reserve,,,16/1/22 11:00,9/7/25 17:35
AU000097,ACC0064,26/3/22 15:42,dmartinez64,192.168.252.163,public_db,Public_Places,UPDATE,EXECUTED_STATEMENT,ok,15,Friendly spot nearby access space family,,,28/4/22 06:02,14/12/24 17:00
AU000098,ACC0092,16/1/25 10:33,awilson92,192.168.221.71,public_db,Bookings,DELETE,EXECUTED_STATEMENT,error,47,Service open reserve open friendly book,,,5/9/24 04:54,18/2/25 06:15
AU000099,ACC0003,6/11/24 09:41,nwilliams3,192.168.203.124,public_db,Payments,UPDATE,EXECUTED_STATEMENT,error,19,Central family available event gathering friendly,,,13/3/24 06:08,22/7/25 05:47
AU000100,ACC0023,11/1/23 12:45,tthomas23,192.168.4.194,public_db,Bookings,UPDATE,EXECUTED_STATEMENT,error,46,Friendly central access friendly nearby access,,,22/4/24 06:52,26/8/25 09:10
